SKU;model;brand;product;description;long_description;width;width_unit;depth;depth_unit;height;height_unit;weight;weight_unit;price;sale_price;currency;stock;stock_status;category;tags;EAN;tax_class;shipping_class;product_type;parent_SKU;attribute_1_name;attribute_1_value;attribute_2_name;attribute_2_value;attribute_3_name;attribute_3_value;attribute_4_name;attribute_4_value;attribute_5_name;attribute_5_value;attribute_6_name;attribute_6_value;status;video_url;image;image_2;image_3;datasheet_url;manual_url;technicalmanual_url;drawing_url;catalogue_url;photo_url;card_url;brandcatalogue_url;price_url
CKNITV6BUCKETSKIT;6BUCKETSKIT;ITV;6 ice tickets kits;6 ice tickets kits;6 ice tickets kits;176;mm;420;mm;385;mm;8;Kg;784;;EUR;;;cold>ice maker;ITV, icemaker, bar;;;;simple;;;;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_6BUCKETSKIT.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_6BUCKETSKIT.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_6BUCKETSKIT.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_6BUCKETSKIT.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_6BUCKETSKIT.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_6BUCKETSKIT.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_6BUCKETSKIT.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_6BUCKETSKIT.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_6BUCKETSKIT.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_6BUCKETSKIT.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_6BUCKETSKIT.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_S_130;BIN_S_130;ITV;IceBin;Ice Bin;Ice storage BINS are an indispensable element to cover large demands for ice. A suitable storage depot avoids space problems, saves work and money and guarantees an abundant stock. The ice storage BINS make the ice removal process easier, avoiding spills, and the ice transfer is three times faster, which saves work and time. We have a wide range of tanks to adapt to any ITV ice machine and respond to all needs.;762;mm;819;mm;740;mm;52;Kg;2105;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);160;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_S_130.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_S_130.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_S_130.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_S_130.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_S_130.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_S_130.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_S_130.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_S_130.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_S_130.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_S_130.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_S_130.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_S_160;BIN_S_160;ITV;IceBin;Ice Bin;Ice storage BINS are an indispensable element to cover large demands for ice. A suitable storage depot avoids space problems, saves work and money and guarantees an abundant stock. The ice storage BINS make the ice removal process easier, avoiding spills, and the ice transfer is three times faster, which saves work and time. We have a wide range of tanks to adapt to any ITV ice machine and respond to all needs.;559;mm;872;mm;1122;mm;54;Kg;2201;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);181;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_S_160.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_S_160.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_S_160.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_S_160.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_S_160.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_S_160.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_S_160.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_S_160.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_S_160.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_S_160.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_S_160.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_S_220;BIN_S_220;ITV;IceBin;Ice Bin;Ice storage BINS are an indispensable element to cover large demands for ice. A suitable storage depot avoids space problems, saves work and money and guarantees an abundant stock. The ice storage BINS make the ice removal process easier, avoiding spills, and the ice transfer is three times faster, which saves work and time. We have a wide range of tanks to adapt to any ITV ice machine and respond to all needs.;762;mm;819;mm;1071;mm;56;Kg;2390;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);230;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_S_220.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_S_220.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_S_220.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_S_220.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_S_220.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_S_220.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_S_220.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_S_220.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_S_220.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_S_220.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_S_220.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_S_350;BIN_S_350;ITV;IceBin;Ice Bin;Ice storage BINS are an indispensable element to cover large demands for ice. A suitable storage depot avoids space problems, saves work and money and guarantees an abundant stock. The ice storage BINS make the ice removal process easier, avoiding spills, and the ice transfer is three times faster, which saves work and time. We have a wide range of tanks to adapt to any ITV ice machine and respond to all needs.;1067;mm;819;mm;1071;mm;69;Kg;3258;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);340;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_S_350.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_S_350.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_S_350.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_S_350.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_S_350.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_S_350.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_S_350.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_S_350.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_S_350.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_S_350.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_S_350.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_S_400;BIN_S_400;ITV;IceBin;Ice Bin;Ice storage BINS are an indispensable element to cover large demands for ice. A suitable storage depot avoids space problems, saves work and money and guarantees an abundant stock. The ice storage BINS make the ice removal process easier, avoiding spills, and the ice transfer is three times faster, which saves work and time. We have a wide range of tanks to adapt to any ITV ice machine and respond to all needs.;1219;mm;819;mm;1071;mm;75;Kg;3422;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);390;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_S_400.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_S_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_S_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_S_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_S_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_S_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_S_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_S_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_S_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_S_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_S_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_S_500;BIN_S_500;ITV;IceBin;Ice Bin;Ice storage BINS are an indispensable element to cover large demands for ice. A suitable storage depot avoids space problems, saves work and money and guarantees an abundant stock. The ice storage BINS make the ice removal process easier, avoiding spills, and the ice transfer is three times faster, which saves work and time. We have a wide range of tanks to adapt to any ITV ice machine and respond to all needs.;1321;mm;872;mm;1122;mm;94;Kg;3992;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);500;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_S_500.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_S_500.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_S_500.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_S_500.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_S_500.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_S_500.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_S_500.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_S_500.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_S_500.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_S_500.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_S_500.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_S_80;BIN_S_80;ITV;IceBin;Ice Bin;Ice storage BINS are an indispensable element to cover large demands for ice. A suitable storage depot avoids space problems, saves work and money and guarantees an abundant stock. The ice storage BINS make the ice removal process easier, avoiding spills, and the ice transfer is three times faster, which saves work and time. We have a wide range of tanks to adapt to any ITV ice machine and respond to all needs.;685;mm;555;mm;870;mm;50;Kg;1225;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);80;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_S_80.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_S_80.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_S_80.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_S_80.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_S_80.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_S_80.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_S_80.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_S_80.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_S_80.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_S_80.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_S_80.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_SCD_400;BIN_SCD_400;ITV;IceBin;Ice Bin;BINS WITH CARTS allow large quantities of ice to be stored and transported safely, conveniently and hygienically. They have carts that eliminate the need to handle the ice for transport, as it falls directly onto the carts. This makes it easier to move the ice and avoids the need to lift heavy ice buckets. In addition, thanks to the baskets, the ice can be removed and deposited much more quickly and effortlessly.;1524;mm;1016;mm;1520;mm;140;Kg;14785;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);413;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_SCD_400.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_SCD_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_SCD_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_SCD_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_SCD_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_SCD_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_SCD_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_SCD_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_SCD_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_SCD_400.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_SCD_400.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
CKNITVBIN_SCD_600;BIN_SCD_600;ITV;IceBin;Ice Bin;BINS WITH CARTS allow large quantities of ice to be stored and transported safely, conveniently and hygienically. They have carts that eliminate the need to handle the ice for transport, as it falls directly onto the carts. This makes it easier to move the ice and avoids the need to lift heavy ice buckets. In addition, thanks to the baskets, the ice can be removed and deposited much more quickly and effortlessly.;1524;mm;1016;mm;1820;mm;160;Kg;17644;;EUR;;;cold>ice maker;ITV, icemaker, bar, bin;;;;simple;;;;;;Storage ( Kg);617;;;;;;;active;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_video_BIN_SCD_600.mp4;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_BIN_SCD_600.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_2_BIN_SCD_600.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_image_3_BIN_SCD_600.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_datasheet_BIN_SCD_600.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_manual_BIN_SCD_600.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_technicalmanual_BIN_SCD_600.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_drawing_BIN_SCD_600.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_catalogue_BIN_SCD_600.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_photo_BIN_SCD_600.jpg;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_card_BIN_SCD_600.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/itv/refs/heads/main/itv_price.pdf
